INSPECCION,MATRICULA,F.MATRIC.,MARCA Y MODELO,BASTIDOR,GRUP,TIP,F,F.INSPEC.,L,I.1,M.1,I.2,M.2,I.3,M.3,I.4,M.4,RESUL.,F.VALIDEZ,DEFEC.
160839732/2016,0855-GGY,07/08/2008,FIAT BRAVO,ZFA19800004153083,1000,001,1,01/08/2016,1,003,14,002,12,006,17,010,22,FAVOR.,01/08/2018,['']
160839733/2016,1359-DFM,14/01/2005,DAF FA LF 45.180,XLRAE45CF0L261260,2125,001,1,01/08/2016,2,003,14,002,16,006,17,001,21,DF.LEV,01/02/2017,"['0406-L', '0407-L']"
160839734/2016,7021-GFM,18/06/2008,CITROEN C4 1.6I,VF7LCNFUC74840551,1000,001,1,01/08/2016,1,003,14,006,12,006,17,010,22,FAVOR.,01/08/2018,['']
160839735/2016,1485-CFB,13/02/2003,SKODA FABIA 1.9 TDI 5V,TMBPS26Y733721355,1000,001,1,01/08/2016,1,003,14,006,12,006,17,010,22,DF.LEV,01/08/2017,['0405-L']
160839736/2016,M-7272-TL,03/05/1996,MERCEDES-BENZ S 500 LARG,WDB1400511A322406,1000,001,1,01/08/2016,1,003,14,002,12,006,17,010,22,DF.LEV,01/08/2017,['0205-L']
160839737/2016,9113-FDZ,16/08/2006,FORD FOCUS,WF03XXGCD36M19615,1000,001,1,01/08/2016,1,002,14,002,12,006,17,010,22,DF.LEV,16/08/2017,"['0406-L', '0407-L']"
160839738/2016,TO-9325-AF,02/05/2000,CITROEN SAXO 1.5D SX 5P,VF7S1VJZFS7126086,1000,001,1,01/08/2016,1,003,14,002,12,006,17,010,22,DESFA.,00/00/0000,"['0103-L', '0205-G', '0208-G', '0209-G', '0406-L', '0901-L']"
160839739/2016,3215-HGW,28/10/2011,OPEL VIVARO,W0LF7AHA6CV600416,2400,015,1,01/08/2016,1,002,999,,,,,,,FAVOR.,01/08/2018,['']
160839740/2016,9964-FHM,15/11/2006,IVECO 35C15,ZCFC35A800D325096,2400,001,1,01/08/2016,2,003,14,001,16,006,17,001,21,DESFA.,00/00/0000,"['0601-L', '0803-G']"
160839741/2016,TO-1705-AG,15/06/2000,VOLKSWAGEN POLO 1.4 5V,WVWZZZ6NZYY547174,1000,001,1,01/08/2016,1,003,14,001,12,001,17,010,22,FAVOR.,01/08/2017,['']
160839742/2016,TO-5769-AB,24/07/1998,CITROEN XSARA 1.9D,VF7N1DJYF36341627,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,DF.LEV,01/08/2017,['0601-L']
160839743/2016,TO-5982-AB,29/07/1998,CHRYSLER VOYAGER,1C4GYN2M0WU547582,1000,002,2,01/08/2016,1,001,999,,,,,,,FAVOR.,01/08/2017,['']
160839744/2016,4746-BYK,26/07/2002,BMW SERIE 3 320D M,WBAAS71060CH30144,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2017,['']
160839745/2016,0704-BHH,06/04/2001,VOLKSWAGEN PASSAT 1.9 TD,WVWZZZ3BZ1E216704,1000,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2017,['']
160839746/2016,M-3315-TV,26/07/1996,VOLKSWAGEN VENTO 1.9 TDI,WVWZZZ1HZVW122269,1000,002,2,01/08/2016,1,003,999,,,,,,,DF.LEV,01/08/2017,['0901-L']
160839747/2016,1946-GGM,22/07/2008,JEEP GRAND CHEROKEE,1J8HCE8M78Y127171,1033,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,FAVOR.,01/08/2018,['']
160839748/2016,8241-GYM,03/09/2010,JEEP CHEROKEE,1J4PN5G53AW158470,1033,001,1,01/08/2016,1,003,14,001,12,006,17,010,22,DF.LEV,01/08/2018,['0406-L']
160839749/2016,8488-BXS,04/07/2002,CITROEN C3 1.4I SX PLUS,VF7FC8HXB26055037,1000,002,2,01/08/2016,2,002,999,006,999,,,,,FAVOR.,01/08/2017,['']
160839750/2016,9505-DSP,22/11/2005,PEUGEOT 307 5P,VF33C9HZC84418945,1000,002,2,01/08/2016,2,002,999,,,,,,,DF.LEV,01/08/2017,"['0205-L', '0401-L']"
